Sno.,App.No.,Geographical Indications,Status,Goods,State
0304,0785,Vasmat Haldi (Turmeric),Registered,Agriculture,Maharashtra
0305,0786,Nandurbar Amchur,Registered,Agriculture,Maharashtra
0306,0787,Nandurbar Mirchi,Registered,Agriculture,Maharashtra
0307,0825,Panchincholi Tamarind,Registered,Agriculture,Maharashtra
0308,0826,Borsuri Tur Dal,Registered,Agriculture,Maharashtra
0309,0827,Kasti Coriander,Registered,Agriculture,Maharashtra
0310,0899,Badlapur Jamun,Registered,Agriculture,Maharashtra
0311,0947,Bahadoli Jamun,Registered,Agriculture,Maharashtra
0312,0953,Dagdi Jowar of Jalna,Registered,Agriculture,Maharashtra
0313,0008,Solapur Chaddar,Registered,Handicraft,Maharashtra
0314,0009,Solapur Terry Towel,Registered,Handicraft,Maharashtra
0315,0128,Puneri Pagadi,Registered,Handicraft,Maharashtra
0316,150 & 153,Paithani Sarees And Fabrics,Registered,Handicraft,Maharashtra
0317,0812,Sawantwadi Ganjifa Cards,Registered,Handicraft,Maharashtra
0318,0390,Karvath Kati Tussar Sarees And Fabrics,Registered,Handicraft,Maharashtra
0319,0791,Miraj Tanpura,Registered,Handicraft,Maharashtra
0320,0792,Hupari Silver Craft,Registered,Handicraft,Maharashtra
0321,0793,Miraj Sitar,Registered,Handicraft,Maharashtra
0322,0806,Sawantwadi Wooden Craft,Registered,Handicraft,Maharashtra
0323,0949,Pen Ganesh Idol,Registered,Handicraft,Maharashtra
0324,0952,Kavdi Maal of Tuljapur,Registered,Handicraft,Maharashtra
0325,0123,Nashik Valley Wine,Registered,Manufactured,Maharashtra
0326,0950,Kunthalgiri Khawa,Registered,Food stuff,Maharashtra
0327,0466,Kachai Lemon,Registered,Agricultural,Manipur
0328,0590,Tamenglong Orange,Registered,Agricultural,Manipur
0329,0592,Sirarakhong Hathei,Registered,Agricultural,Manipur
0330,0371,Shaphee Lanphee,Registered,Handicraft,Manipur
0331,0372,Wangkhei Phee,Registered,Handicraft,Manipur
0332,0373,Moirang Phee,Registered,Handicraft,Manipur
0333,0437,Memong Narang,Registered,Agricultural,Meghalaya
0334,0465,Khasi Mandarin,Registered,Agricultural,Meghalaya
0335,0741,Lakadong Turmeric,Registered,Agriculture,Meghalaya
0336,1094,Meghalaya Garo Textile,Registered,Handicraft,Meghalaya
0337,1095,Meghalaya Lyrnai Pottery,Registered,Handicraft,Meghalaya
0338,1096,Meghalaya Chubitchi,Registered,Manufactured,Meghalaya
0339,0377,Mizo Chilli,Registered,Agricultural,Mizoram
0340,629 & 630,Mizo Ginger,Registered,Agricultural,Mizoram
0341,0582,Tawlhlohpuan,Registered,Handicraft,Mizoram
0342,0583,Mizo Puanchei,Registered,Handicraft,Mizoram
0343,0586,Pawndum,Registered,Handicraft,Mizoram
0344,0587,Ngotekherh,Registered,Handicraft,Mizoram
0345,0588,Hmaram,Registered,Handicraft,Mizoram
0346,0109,Naga Mircha,Registered,Agricultural,Nagaland
0347,0374,Naga Tree Tomato,Registered,Agricultural,Nagaland
0348,0640,Naga Cucumber,Registered,Agricultural,Nagaland
0349,0542,Chakhesang Shawls,Registered,Handicraft,Nagaland
0350,0229,Ganjam Kewda Flower,Registered,Agricultural,Odisha
0351,0610,Kandhamal Haladi,Registered,Agricultural,Odisha
0352,0739,Nayagarh Kanteimundi Brinjal,Registered,Agricultural,Odisha
0353,0814,Koraput Kalajeera Rice,Registered,Agricultural,Odisha
0354,0612,Odisha Rasagola,Registered,Food Stuff,Odisha
0355,0802,Kendrapara Rasabali,Registered,Food Stuff,Odisha
0356,0690,Odisha Khajuri Guda,Registered,Food Stuff,Odisha
0357,0724,Dhenkanal Magji,Registered,Food Stuff,Odisha
0358,0725,Similipal Kai Chutney of Odisha,Registered,Food Stuff,Odisha
0359,0010,Kotpad Handloom Fabric,Registered,Handicraft,Odisha
0360,0022,Orissa Ikat,Registered,Handicraft,Odisha
0361,86 & 108,Pipli Applique Work,Registered,Handicraft,Odisha
0362,87 & 544,Konark Stone Carving,Registered,Handicraft,Odisha
0363,0088,Orissa Pattachitra,Registered,Handicraft,Odisha
0364,0136,Khandua Saree And Fabrics,Registered,Handicraft,Odisha
0365,0167,Gopalpur Tussar Fabrics,Registered,Handicraft,Odisha
0366,0207,Dhalapathar Parda & Fabrics,Registered,Handicraft,Odisha
0367,0208,Sambalpuri Bandha Saree & Fabrics,Registered,Handicraft,Odisha
0368,0217,Bomkai Saree & Fabrics,Registered,Handicraft,Odisha
0369,0219,Habaspuri Saree & Fabrics,Registered,Handicraft,Odisha
0370,0220,Berhampur Patta (Phoda Kumbha) Saree & Joda,Registered,Handicraft,Odisha
0371,0386,Orissa Pattachitra (Logo),Registered,Handicraft,Odisha
0372,0773,Kapadaganda: Dungaria Kondh Embroidery Shawl,Registered,Handicraft,Odisha
0373,0871,"Painting of Lanjia Saura (IDITAL),",Registered,Handicraft,Odisha
0374,0767,Cuttack Rupa Tarakasi (Silver Filig,Registered,Handicraft,Odisha
0375,0228,Ganjam Kewda Rooh,Registered,Manufactured,Odisha
0376,0201,Villianur Terracotta Works,Registered,Handicraft,Pondicherry
0377,0202,Tirukanur Papier Mache Craft,Registered,Handicraft,Pondicherry
0378,0142,Bikaneri Bhujia,Registered,Food Stuff,Rajasthan
